1.1;Mieczyslaw, Mieczyslawa, Mieszko
2.1;Abel, Izydor, Makary
3.1;Daniel, Genowefa, Zdzislawa
4.1;Aniela, Eugeniusz, Rygobert
5.1;Edwarda, Emiliana, Szymon
6.1;Baltazar, Kacper, Melchior
7.1;Julian, Kryspin, Lucjan
8.1;Erhard, Seweryn, Wawrzyniec
9.1;Adrian, Antoni, Piotr
10.1;Agaton, Jan, Wilhelm
11.1;Honorata, Krzesimir, Mechtylda
12.1;Arkadiusz, Bernard, Greta
13.1;Bogumila, Leoncjusz, Weronika
14.1;Feliks, Hilary, Nina
15.1;Arnold, Pawel
16.1;Marceli, Wlodzimierz
17.1;Antoni, Rozalinda
18.1;Beatrycze, Malgorzata
19.1;Henryk, Mariusz
20.1;Fabian, Fabiana, Sebastian
21.1;Agnieszka, Epifaniusz, Inez
22.1;Anastazy, Wincenty
23.1;Ildefons, Rajmund, Rajmunda
24.1;Felicjan, Rafal, Tymoteusz
25.1;Milosz, Pawel, Tatiana
26.1;Paula, Tytus
27.1;Jerzy, Witalian
28.1;Karol, Tomasz
29.1;Aniela, Boleslawa, Zdzislaw, Franciszek
30.1;Maciej, Marcin, Martyna
31.1;Jan, Ludwika, Marcela
1.2;Brygida, Sewer
2.2;Kornel, Maria, Miloslawa
3.2;Blazej, Oskar, Telimena
4.2;Andrzej, Józef, Weronika
5.2;Adelajda, Agata
6.2;Amanda, Dorota
7.2;Romuald, Ryszard, Teodor
8.2;Hieronim, Józefina
9.2;Apolonia, Jakub
10.2;Jacek, Jacenty, Scholastyka
11.2;Bernadeta, Łazarz, Maria
12.2;Benedykt, Ludwik, Norma
13.2;Jordan, Jordana
14.2;Cyryl, Metody, Walenty
15.2;Faustyn, Jowita, Zygfryd
16.2;Daniel, Danuta, Samuel
17.2;Aleksy, Łukasz, Zbigniew
18.2;Konstancja, Sylwan
19.2;Konrada, Marceli
20.2;Leon, Zenobiusz
21.2;Feliks, Lena, Robert
22.2;Malgorzata, Marta
